epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,417.975,1.16762,1.29243,0.19301,0.74551,0.91155,0.53186,0.62922,0.61755,0.38836,0.55439,0.63367,0.63214,0.44051,1.10455,1.06421,0.09598,0.69097,0.90285,0.00050995,0.00050995,0.00050995
101,421.883,1.19549,1.26027,0.17282,0.75987,0.92094,0.55575,0.62644,0.6222,0.3956,0.57621,0.62905,0.63719,0.45424,1.10262,1.06083,0.09767,0.6856,0.90077,0.000505,0.000505,0.000505
102,425.609,1.18103,1.26382,0.1688,0.75322,0.9198,0.63714,0.61313,0.64331,0.40929,0.7318,0.5728,0.66458,0.46409,1.09752,1.06776,0.09185,0.69119,0.90311,0.00050005,0.00050005,0.00050005
103,429.399,1.22283,1.32748,0.17365,0.77641,0.90996,0.66705,0.61022,0.64192,0.40549,0.69004,0.61925,0.67613,0.47123,1.10824,1.07066,0.09228,0.69749,0.90502,0.0004951,0.0004951,0.0004951
104,433.174,1.18188,1.30668,0.16845,0.75784,0.90839,0.60299,0.66886,0.67853,0.43177,0.62032,0.67033,0.69902,0.49172,1.07447,1.04593,0.09379,0.6693,0.89941,0.00049015,0.00049015,0.00049015
105,437.422,1.17332,1.28614,0.16512,0.75116,0.91408,0.57278,0.6847,0.66874,0.42886,0.61263,0.67878,0.68638,0.47887,1.07431,1.0408,0.09214,0.66968,0.89701,0.0004852,0.0004852,0.0004852
106,441.318,1.15798,1.24133,0.16614,0.7301,0.91099,0.63377,0.61778,0.6737,0.43425,0.66489,0.62804,0.69497,0.49358,1.06205,1.02291,0.09135,0.67247,0.89506,0.00048025,0.00048025,0.00048025
107,445.243,1.20766,1.30921,0.1787,0.75815,0.90659,0.61289,0.62753,0.66388,0.43067,0.63717,0.63728,0.68541,0.48199,1.06955,1.03045,0.09127,0.67049,0.89294,0.0004753,0.0004753,0.0004753
108,448.947,1.19759,1.27826,0.16402,0.74688,0.90914,0.57922,0.67993,0.66171,0.42106,0.68332,0.62208,0.68593,0.47904,1.08009,1.0273,0.08717,0.66484,0.89961,0.00047035,0.00047035,0.00047035
109,452.899,1.15359,1.22856,0.16575,0.73608,0.91892,0.69301,0.60499,0.6706,0.4363,0.75542,0.61604,0.7006,0.4933,1.07583,1.02195,0.08916,0.66757,0.89902,0.0004654,0.0004654,0.0004654
110,456.688,1.18216,1.24707,0.17196,0.73501,0.90345,0.64656,0.67146,0.69204,0.44575,0.69,0.6644,0.71828,0.51124,1.05978,1.01553,0.08968,0.66239,0.89334,0.00046045,0.00046045,0.00046045
111,460.505,1.16639,1.24353,0.18112,0.73238,0.91142,0.63549,0.66593,0.68674,0.43941,0.66065,0.68207,0.70925,0.50213,1.05356,1.00918,0.08737,0.661,0.89198,0.0004555,0.0004555,0.0004555
112,464.36,1.14901,1.24581,0.17404,0.72023,0.91076,0.59305,0.68452,0.67263,0.42816,0.66965,0.63052,0.69219,0.48752,1.06173,1.01171,0.08794,0.66032,0.89237,0.00045055,0.00045055,0.00045055
113,468.413,1.14913,1.24249,0.16515,0.74006,0.90741,0.58112,0.68591,0.66182,0.43124,0.61097,0.68707,0.6948,0.48841,1.04939,1.00177,0.08517,0.65961,0.89282,0.0004456,0.0004456,0.0004456
114,472.677,1.18575,1.23022,0.16213,0.74219,0.91218,0.60123,0.69989,0.67451,0.43401,0.62126,0.71108,0.71075,0.50369,1.06787,0.99473,0.0856,0.66245,0.89138,0.00044065,0.00044065,0.00044065
115,477.116,1.17366,1.19243,0.16152,0.73382,0.89389,0.61843,0.69717,0.69583,0.44517,0.66495,0.69333,0.71677,0.50627,1.05075,0.99359,0.08428,0.6502,0.89109,0.0004357,0.0004357,0.0004357
116,481.316,1.13943,1.18271,0.16924,0.72237,0.90791,0.61719,0.66991,0.67739,0.44339,0.63553,0.68139,0.71466,0.50324,1.04303,0.99265,0.08336,0.65008,0.89222,0.00043075,0.00043075,0.00043075
117,485.521,1.16698,1.23907,0.17489,0.7295,0.90485,0.62948,0.69311,0.6839,0.44832,0.65462,0.6957,0.72074,0.51611,1.04219,0.98121,0.08515,0.65014,0.88731,0.0004258,0.0004258,0.0004258
118,489.825,1.14784,1.21926,0.17438,0.73126,0.90933,0.72081,0.65603,0.70689,0.4553,0.74055,0.66996,0.72711,0.53239,1.05969,0.98302,0.08366,0.65179,0.89384,0.00042085,0.00042085,0.00042085
119,493.849,1.14457,1.16589,0.16766,0.71711,0.91076,0.74268,0.64015,0.72303,0.4628,0.7562,0.65072,0.73443,0.54073,1.04689,0.9789,0.08569,0.6471,0.88783,0.0004159,0.0004159,0.0004159
120,498.054,1.14873,1.19803,0.16236,0.72748,0.90656,0.74145,0.64501,0.72013,0.4671,0.76159,0.65149,0.73923,0.53563,1.02613,0.97228,0.08082,0.63925,0.88719,0.00041095,0.00041095,0.00041095
121,502.287,1.13595,1.18729,0.16325,0.70567,0.90222,0.67664,0.6599,0.7008,0.44972,0.71373,0.64559,0.73212,0.52348,1.07589,0.98139,0.08137,0.64206,0.89447,0.000406,0.000406,0.000406
122,506.484,1.18457,1.25875,0.17515,0.74335,0.90551,0.65719,0.64829,0.68878,0.44354,0.68778,0.66292,0.72975,0.52411,1.0397,0.95469,0.07857,0.6402,0.88963,0.00040105,0.00040105,0.00040105
123,510.39,1.16516,1.19856,0.16392,0.73641,0.91424,0.6914,0.65197,0.69874,0.46158,0.74685,0.66334,0.73753,0.53364,1.02349,0.94858,0.07856,0.63822,0.88546,0.0003961,0.0003961,0.0003961
124,514.396,1.13132,1.13358,0.14764,0.71681,0.90187,0.70062,0.6879,0.72544,0.46036,0.72561,0.67057,0.74391,0.53761,1.04751,0.96458,0.07908,0.63361,0.88849,0.00039115,0.00039115,0.00039115
125,518.721,1.11641,1.14937,0.16416,0.69728,0.90837,0.70437,0.6982,0.73424,0.46926,0.76859,0.66223,0.75099,0.54607,1.02552,0.95815,0.07683,0.62407,0.88659,0.0003862,0.0003862,0.0003862
126,522.754,1.18304,1.21706,0.14299,0.73331,0.89297,0.6762,0.68718,0.72206,0.47552,0.70638,0.6787,0.73489,0.53618,1.01559,0.94749,0.07999,0.63228,0.88089,0.00038125,0.00038125,0.00038125
127,526.791,1.15035,1.15454,0.16903,0.69508,0.9058,0.69571,0.67476,0.72503,0.4784,0.73914,0.65768,0.73721,0.53525,1.01899,0.94187,0.07765,0.62867,0.88302,0.0003763,0.0003763,0.0003763
128,530.752,1.1378,1.17988,0.15858,0.70744,0.89179,0.68887,0.69407,0.73028,0.465,0.72851,0.676,0.73567,0.53751,1.02578,0.93376,0.08163,0.62681,0.88046,0.00037135,0.00037135,0.00037135
129,534.959,1.13254,1.15819,0.16535,0.71233,0.89985,0.72404,0.67809,0.73278,0.47804,0.74202,0.68492,0.74862,0.54845,1.01081,0.93482,0.07881,0.62242,0.88061,0.0003664,0.0003664,0.0003664
130,539.079,1.11756,1.14063,0.16398,0.68008,0.90211,0.75055,0.6594,0.74479,0.48146,0.77297,0.67394,0.76526,0.56161,1.03081,0.92731,0.07981,0.62113,0.88212,0.00036145,0.00036145,0.00036145
131,543.267,1.11664,1.11911,0.15985,0.69606,0.9032,0.74702,0.68232,0.7509,0.4863,0.75867,0.6827,0.76273,0.56214,1.01183,0.91591,0.07845,0.61124,0.87909,0.0003565,0.0003565,0.0003565
132,547.524,1.17275,1.18043,0.15965,0.72657,0.90813,0.77612,0.66647,0.7483,0.48837,0.78826,0.67019,0.76279,0.56524,1.02071,0.91718,0.0782,0.61057,0.87994,0.00035155,0.00035155,0.00035155
133,551.403,1.13758,1.18386,0.16134,0.70235,0.90783,0.76195,0.65858,0.74165,0.48551,0.78562,0.67505,0.76288,0.55889,0.99881,0.91247,0.07559,0.60781,0.87769,0.0003466,0.0003466,0.0003466
134,555.431,1.14698,1.166,0.15322,0.69492,0.88788,0.78864,0.67366,0.75985,0.49411,0.80032,0.67804,0.76408,0.56294,0.99464,0.9111,0.07425,0.60431,0.8772,0.00034165,0.00034165,0.00034165
135,559.23,1.10266,1.10462,0.16013,0.67733,0.89185,0.76447,0.69497,0.77038,0.5046,0.7699,0.69707,0.77386,0.57152,0.98716,0.90227,0.07285,0.5989,0.87879,0.0003367,0.0003367,0.0003367
136,563.293,1.11961,1.15116,0.15371,0.68712,0.87741,0.76495,0.65753,0.75405,0.48859,0.78327,0.65578,0.76681,0.56056,0.99162,0.90646,0.07151,0.59747,0.87931,0.00033175,0.00033175,0.00033175
137,567.125,1.08445,1.09652,0.15798,0.67234,0.88847,0.74645,0.67416,0.76271,0.50274,0.75043,0.67278,0.76445,0.56607,0.97339,0.88729,0.07257,0.59511,0.87391,0.0003268,0.0003268,0.0003268
138,570.831,1.10082,1.18028,0.14732,0.69533,0.9053,0.79656,0.66142,0.76736,0.49843,0.79889,0.66221,0.76516,0.56529,0.99434,0.90574,0.07055,0.59841,0.87893,0.00032185,0.00032185,0.00032185
139,574.652,1.11069,1.13612,0.15488,0.69519,0.88546,0.75941,0.69337,0.76209,0.49827,0.78626,0.68903,0.76053,0.568,0.99736,0.892,0.07229,0.60484,0.87727,0.0003169,0.0003169,0.0003169
140,578.569,1.12792,1.13678,0.15873,0.69164,0.90638,0.76065,0.69877,0.76724,0.50187,0.7617,0.70026,0.76859,0.56847,0.98911,0.88785,0.07143,0.595,0.87834,0.00031195,0.00031195,0.00031195
141,582.586,1.08875,1.06608,0.15305,0.67333,0.89207,0.74295,0.71695,0.76882,0.50099,0.73779,0.71303,0.76736,0.5698,0.99235,0.88093,0.07212,0.5908,0.87792,0.000307,0.000307,0.000307
142,586.253,1.10781,1.11448,0.15843,0.67914,0.89962,0.78581,0.68559,0.7783,0.51589,0.79133,0.69063,0.78034,0.58264,0.97641,0.8747,0.07144,0.58511,0.87405,0.00030205,0.00030205,0.00030205
143,590.064,1.10204,1.08373,0.15231,0.67408,0.89274,0.78119,0.68142,0.77747,0.5156,0.79016,0.68634,0.77875,0.583,0.97386,0.87564,0.07189,0.58912,0.87322,0.0002971,0.0002971,0.0002971
144,593.931,1.07055,1.0523,0.1416,0.66148,0.89161,0.75768,0.70273,0.77162,0.51129,0.76017,0.70195,0.77326,0.57775,0.95984,0.87054,0.07046,0.58657,0.87165,0.00029215,0.00029215,0.00029215
145,597.655,1.08671,1.08278,0.15122,0.65608,0.90056,0.74566,0.67381,0.75934,0.50396,0.77792,0.68123,0.76557,0.57149,0.96585,0.87221,0.07068,0.58487,0.87132,0.0002872,0.0002872,0.0002872
146,601.378,1.05811,1.01167,0.1489,0.63964,0.89404,0.74224,0.68565,0.75335,0.50633,0.77506,0.66925,0.76058,0.57095,0.96525,0.8774,0.06976,0.58628,0.87247,0.00028225,0.00028225,0.00028225
147,605.15,1.07289,1.07772,0.15657,0.67305,0.89989,0.7735,0.68122,0.75829,0.51029,0.78108,0.68132,0.76532,0.57539,0.96457,0.86813,0.06934,0.58439,0.87227,0.0002773,0.0002773,0.0002773
148,609.044,1.07853,1.07052,0.1572,0.65688,0.88273,0.7655,0.71068,0.77815,0.51875,0.77331,0.71146,0.78049,0.58559,0.96433,0.87036,0.06853,0.57897,0.87128,0.00027235,0.00027235,0.00027235
149,613.184,1.09045,1.08118,0.15014,0.6656,0.88935,0.7673,0.73521,0.77601,0.51169,0.77279,0.74056,0.78152,0.58473,0.95729,0.85886,0.06708,0.57604,0.87114,0.0002674,0.0002674,0.0002674
150,616.938,1.08364,1.09559,0.15485,0.66728,0.89009,0.74121,0.74083,0.76925,0.50705,0.74703,0.74509,0.77527,0.57868,0.98274,0.85683,0.06693,0.58002,0.87334,0.00026245,0.00026245,0.00026245
151,620.895,1.11124,1.11585,0.16338,0.67742,0.88613,0.71951,0.74845,0.77097,0.51473,0.75237,0.72941,0.77731,0.58302,0.96395,0.85498,0.06601,0.57968,0.87112,0.0002575,0.0002575,0.0002575
152,625.287,1.07327,1.06932,0.15678,0.66394,0.88966,0.7177,0.74895,0.76647,0.50734,0.80261,0.68055,0.77287,0.57798,0.97752,0.85489,0.06375,0.58043,0.87643,0.00025255,0.00025255,0.00025255
153,629.217,1.08732,1.02633,0.15008,0.65224,0.89221,0.80324,0.66011,0.77203,0.51412,0.81173,0.66489,0.77813,0.58577,0.97597,0.84677,0.06576,0.57725,0.87303,0.0002476,0.0002476,0.0002476
154,633.084,1.07411,1.04527,0.15402,0.65768,0.88556,0.80699,0.70285,0.79179,0.5303,0.80693,0.70063,0.79364,0.59972,0.94637,0.83989,0.0656,0.56727,0.86874,0.00024265,0.00024265,0.00024265
155,636.737,1.06869,1.11574,0.15853,0.67384,0.88315,0.80838,0.71868,0.79461,0.5316,0.8084,0.72008,0.79792,0.60233,0.9461,0.83668,0.06572,0.56652,0.86913,0.0002377,0.0002377,0.0002377
156,640.486,1.10345,1.12032,0.15712,0.67991,0.88409,0.77663,0.71718,0.79035,0.52462,0.82068,0.68518,0.79064,0.60055,0.958,0.84057,0.06594,0.57554,0.86855,0.00023275,0.00023275,0.00023275
157,644.211,1.07655,1.02011,0.15452,0.67694,0.88362,0.76207,0.74249,0.79289,0.53193,0.76301,0.74348,0.79555,0.6058,0.94065,0.83105,0.06407,0.56817,0.86689,0.0002278,0.0002278,0.0002278
158,647.889,1.06143,1.09252,0.16746,0.6559,0.89524,0.7452,0.74781,0.7915,0.53222,0.84169,0.68171,0.79507,0.60472,0.95813,0.83277,0.06447,0.56832,0.86901,0.00022285,0.00022285,0.00022285
159,651.478,1.07155,1.06238,0.16703,0.65778,0.89555,0.82428,0.67296,0.79372,0.53582,0.85842,0.67601,0.79881,0.60532,0.95858,0.83423,0.06449,0.56749,0.86984,0.0002179,0.0002179,0.0002179
160,655.248,1.09943,1.11824,0.16956,0.67674,0.8834,0.79508,0.70543,0.79566,0.54259,0.79744,0.70788,0.80463,0.60835,0.94157,0.82753,0.0642,0.56658,0.86737,0.00021295,0.00021295,0.00021295
161,659.004,1.04972,1.02858,0.15551,0.63127,0.88299,0.81202,0.7068,0.79752,0.54481,0.81924,0.71198,0.80345,0.61251,0.94184,0.83122,0.06321,0.56706,0.86735,0.000208,0.000208,0.000208
162,662.652,1.06699,1.05386,0.1471,0.65329,0.87858,0.81767,0.68851,0.79085,0.54084,0.83989,0.68634,0.79934,0.60742,0.93159,0.82445,0.06354,0.56445,0.86581,0.00020305,0.00020305,0.00020305
163,666.28,1.05799,1.02083,0.13691,0.64923,0.88543,0.8138,0.68835,0.78598,0.53574,0.83203,0.689,0.79263,0.60545,0.93158,0.82335,0.06415,0.5675,0.86545,0.0001981,0.0001981,0.0001981
164,669.947,1.06919,1.07138,0.14993,0.65063,0.88228,0.75558,0.69987,0.78346,0.53317,0.77547,0.69787,0.78563,0.59912,0.93807,0.82184,0.06301,0.56739,0.86675,0.00019315,0.00019315,0.00019315
165,674.197,1.06414,1.05018,0.14898,0.64595,0.87619,0.72376,0.75596,0.80251,0.5457,0.77652,0.72092,0.80422,0.61789,0.93443,0.81418,0.06214,0.56583,0.8667,0.0001882,0.0001882,0.0001882
166,678.792,1.04409,1.02951,0.14982,0.64567,0.88223,0.73917,0.76166,0.80983,0.55118,0.82828,0.6987,0.80727,0.61833,0.9351,0.817,0.0614,0.56125,0.86611,0.00018325,0.00018325,0.00018325
167,682.796,1.02848,1.00091,0.14606,0.62441,0.88131,0.72948,0.7613,0.81057,0.55118,0.80298,0.7079,0.81248,0.61924,0.93373,0.81298,0.06159,0.5588,0.86459,0.0001783,0.0001783,0.0001783
168,686.513,1.06205,1.04697,0.14894,0.63827,0.86879,0.72698,0.76553,0.80081,0.54827,0.73059,0.76832,0.80187,0.61277,0.92589,0.80336,0.06184,0.5566,0.86369,0.00017335,0.00017335,0.00017335
169,690.234,1.07272,1.03641,0.14376,0.65724,0.88221,0.75149,0.72552,0.78938,0.54359,0.74824,0.72955,0.7903,0.60445,0.92307,0.80535,0.06171,0.55819,0.86396,0.0001684,0.0001684,0.0001684
170,693.96,1.02582,1.01151,0.1547,0.62642,0.87867,0.78938,0.72903,0.79811,0.54729,0.78957,0.7303,0.79781,0.61164,0.91224,0.80023,0.06305,0.55122,0.86,0.00016345,0.00016345,0.00016345
171,697.641,1.01664,1.03627,0.14179,0.62817,0.88095,0.76601,0.72535,0.80256,0.55406,0.76676,0.72718,0.80425,0.61727,0.90809,0.79886,0.06246,0.55156,0.85981,0.0001585,0.0001585,0.0001585
172,701.853,1.00921,0.96545,0.16098,0.60302,0.87897,0.72026,0.76454,0.80603,0.55203,0.72432,0.76193,0.80566,0.62363,0.91126,0.7959,0.06107,0.54884,0.86129,0.00015355,0.00015355,0.00015355
173,705.496,1.02481,1.00382,0.14334,0.61709,0.87079,0.75262,0.7337,0.80226,0.55094,0.73574,0.75883,0.80335,0.62193,0.91424,0.7973,0.06141,0.55203,0.86137,0.0001486,0.0001486,0.0001486
174,709.22,1.03054,1.01242,0.14131,0.63153,0.88168,0.75918,0.74257,0.80844,0.55478,0.75916,0.75834,0.80554,0.62184,0.9059,0.79067,0.06094,0.54882,0.86063,0.00014365,0.00014365,0.00014365
175,712.946,1.02019,0.98437,0.14352,0.61704,0.87706,0.77155,0.75051,0.81413,0.55815,0.77212,0.75113,0.80937,0.62854,0.9027,0.78688,0.06101,0.54652,0.8594,0.0001387,0.0001387,0.0001387
176,716.629,1.01981,1.00802,0.15442,0.62339,0.8867,0.77223,0.74517,0.81305,0.55881,0.77294,0.74592,0.81132,0.62615,0.90355,0.7833,0.05998,0.54437,0.8592,0.00013375,0.00013375,0.00013375
177,720.338,1.02056,1.01524,0.14151,0.62725,0.87488,0.76593,0.74645,0.80711,0.55547,0.76603,0.74774,0.80717,0.62376,0.90091,0.78353,0.05966,0.54991,0.85907,0.0001288,0.0001288,0.0001288
178,724.025,1.05626,1.07369,0.16231,0.64061,0.88484,0.7555,0.74503,0.80124,0.55822,0.76027,0.74861,0.80758,0.62967,0.9001,0.78168,0.06101,0.54758,0.85854,0.00012385,0.00012385,0.00012385
179,727.675,1.03502,1.00459,0.13955,0.62888,0.87717,0.76273,0.75003,0.81063,0.56496,0.77456,0.74412,0.81233,0.63285,0.89407,0.77988,0.06072,0.54283,0.85875,0.0001189,0.0001189,0.0001189
180,731.467,1.01333,0.99225,0.14157,0.60836,0.88118,0.78438,0.74829,0.81342,0.56868,0.78509,0.74904,0.81931,0.6324,0.89155,0.77846,0.06111,0.53396,0.85776,0.00011395,0.00011395,0.00011395
181,735.114,1.01343,1.00262,0.1467,0.6131,0.87611,0.75379,0.75781,0.80439,0.55615,0.7557,0.76317,0.81097,0.62614,0.90371,0.78102,0.06136,0.5394,0.85822,0.000109,0.000109,0.000109
182,738.864,1.04282,0.9994,0.14404,0.62783,0.87484,0.74888,0.75456,0.79991,0.56176,0.74945,0.75519,0.80387,0.62277,0.88584,0.7733,0.05927,0.53249,0.85586,0.00010405,0.00010405,0.00010405
183,742.685,0.99518,0.93879,0.15507,0.59935,0.87262,0.75343,0.77065,0.80156,0.55954,0.75381,0.77181,0.80452,0.6227,0.88782,0.77265,0.05902,0.53262,0.85657,9.91e-05,9.91e-05,9.91e-05
184,746.588,1.02116,0.96268,0.15095,0.61558,0.88263,0.80037,0.7244,0.79973,0.55531,0.80084,0.7249,0.80228,0.6201,0.88702,0.77277,0.05907,0.53463,0.85679,9.415e-05,9.415e-05,9.415e-05
185,750.403,0.9877,0.94603,0.14496,0.59908,0.87808,0.76802,0.76019,0.80447,0.56253,0.7686,0.76082,0.80761,0.62345,0.89515,0.77503,0.05874,0.53267,0.85838,8.92e-05,8.92e-05,8.92e-05
186,754.107,1.00477,0.97582,0.14768,0.61434,0.87459,0.79658,0.75155,0.80862,0.56391,0.79666,0.74946,0.80693,0.6251,0.88827,0.77504,0.05851,0.5298,0.85765,8.425e-05,8.425e-05,8.425e-05
187,757.853,0.98711,0.94992,0.14142,0.58026,0.87624,0.78938,0.7448,0.80847,0.56404,0.79461,0.74446,0.8051,0.62491,0.88356,0.77522,0.05882,0.52948,0.8569,7.93e-05,7.93e-05,7.93e-05
188,761.684,0.98047,0.9725,0.16222,0.5976,0.86978,0.74256,0.76465,0.80569,0.5667,0.75447,0.75866,0.80252,0.6272,0.8798,0.76978,0.05891,0.53065,0.85557,7.435e-05,7.435e-05,7.435e-05
189,765.391,1.01165,1.00395,0.16934,0.61358,0.87787,0.72924,0.77357,0.80485,0.56787,0.72864,0.77472,0.80716,0.62804,0.87947,0.76736,0.05826,0.52929,0.85536,6.94e-05,6.94e-05,6.94e-05
190,769.096,1.02123,1.0416,0.16011,0.63443,0.88479,0.73892,0.76901,0.80998,0.57146,0.78517,0.72974,0.81073,0.63179,0.87625,0.76587,0.05775,0.52697,0.85507,6.445e-05,6.445e-05,6.445e-05
191,810.665,1.00884,0.92943,0.0622,0.63645,0.8737,0.78168,0.74243,0.81158,0.57095,0.78848,0.7425,0.8098,0.62906,0.87972,0.77177,0.05766,0.53188,0.85451,5.95e-05,5.95e-05,5.95e-05
192,814.281,0.99038,0.88269,0.05805,0.61975,0.89034,0.78086,0.7545,0.80457,0.56606,0.78026,0.75375,0.80394,0.62583,0.88994,0.7783,0.05768,0.53958,0.85473,5.455e-05,5.455e-05,5.455e-05
193,818.001,0.95586,0.8554,0.0574,0.5898,0.87573,0.77586,0.75588,0.79939,0.56106,0.78647,0.75597,0.80081,0.62362,0.90267,0.77993,0.05692,0.54546,0.85701,4.96e-05,4.96e-05,4.96e-05
194,821.696,1.00047,0.91933,0.06085,0.60851,0.87695,0.77592,0.75176,0.79856,0.55481,0.7917,0.749,0.79884,0.61707,0.90294,0.78338,0.05619,0.546,0.85764,4.465e-05,4.465e-05,4.465e-05
195,825.231,0.95725,0.8411,0.06276,0.587,0.86953,0.78064,0.74727,0.79894,0.55405,0.79024,0.74575,0.80014,0.61748,0.90718,0.78614,0.056,0.54549,0.85827,3.97e-05,3.97e-05,3.97e-05
196,828.885,0.96541,0.85026,0.05984,0.58832,0.87913,0.78316,0.74694,0.79918,0.55603,0.78902,0.74849,0.80081,0.61525,0.9158,0.78922,0.05609,0.54631,0.85898,3.475e-05,3.475e-05,3.475e-05
197,832.526,0.95833,0.86575,0.0626,0.58022,0.87725,0.78083,0.75397,0.7981,0.55968,0.79598,0.75171,0.7999,0.61591,0.91418,0.78749,0.05622,0.54432,0.85816,2.98e-05,2.98e-05,2.98e-05
198,836.11,0.95322,0.85108,0.05774,0.57426,0.88692,0.79306,0.7534,0.80466,0.56403,0.79935,0.75673,0.80533,0.62317,0.90796,0.7828,0.05622,0.54266,0.85762,2.485e-05,2.485e-05,2.485e-05
199,839.702,0.96354,0.861,0.06208,0.58671,0.87274,0.79105,0.75414,0.80491,0.56389,0.79923,0.75683,0.80586,0.62354,0.90993,0.78339,0.05589,0.54371,0.85808,1.99e-05,1.99e-05,1.99e-05
200,843.314,0.94825,0.83467,0.06057,0.56994,0.88038,0.79481,0.75643,0.80647,0.56473,0.80427,0.7581,0.80756,0.62501,0.90781,0.78226,0.0554,0.54411,0.85785,1.495e-05,1.495e-05,1.495e-05
